cell_id,num_packets,in_pkts,in_pkts/total,out_pkts/total,num_bytes,bytes_in,bytes_in/total,bytes_out/total,avg_in_pkt_size,markers,burst_size_1,burst_size_2,burst_size_3,burst_time_1,burst_time_2,burst_time_3,burst_seq_1,burst_seq_2,burst_seq_3,percentage_fluctuation_start_middle,percentage_fluctuation_middle_end,avg_interval_pkts
1,133,131,0.9849624060150376,0.015037593984962405,323.7370000000001,319.94900000000007,0.9882991440582942,0.011700855941705765,2.442358778625955,3,5.698,5.453,4.29,1.620414230403282,1.620414221513283,1.620414221057839,65,13,2,2.17,14.08,0.1574429230769230769230769231
1,137,135,0.9854014598540146,0.014598540145985401,321.0149999999999,317.22699999999986,0.9881999283522577,0.011800071647742322,2.3498296296296286,3,7.106000000000001,7.106000000000001,5.698,1.620413877548298,1.620413885089751,1.620413869429539,83,134,13,2.17,-17.91,0.1269377164179104477611940299
1,115,112,0.9739130434782609,0.02608695652173913,293.9290000000002,288.9890000000002,0.9831932201313923,0.016806779868607714,2.5802589285714306,5,7.305999999999999,7.305999999999999,5.858,1.621868509016802,1.621868514929587,1.62186850814387,16,113,6,17.45,0.0,0.06581056756756756756756756757
1,96,92,0.9583333333333334,0.041666666666666664,325.7510000000001,319.6880000000001,0.9813876242897183,0.018612375710281775,3.4748695652173924,7,12.713,11.65,11.65,1.621869025251547,1.621869025303851,1.621869026935187,6,7,18,17.45,-28.96,0.1913689120879120879120879121
1,116,114,0.9827586206896551,0.017241379310344827,301.0519999999999,299.1859999999999,0.9938017352483957,0.006198264751604376,2.6244385964912276,3,15.554,7.106000000000001,5.698,1.619870239480583,1.619870250908568,1.619870244384666,39,98,69,0.26,49.29,0.1614524955752212389380530973
1,95,91,0.9578947368421052,0.042105263157894736,261.896,257.795,0.9843411125026729,0.015658887497327183,2.832912087912088,7,8.754,8.754,7.469,1.621868518416286,1.621868520293524,1.62186852033045,36,61,65,8.11,-1.74,0.06573681111111111111111111111
1,115,112,0.9739130434782609,0.02608695652173913,301.02700000000004,296.11600000000004,0.9836858487776844,0.016314151222315606,2.6438928571428577,5,13.098,8.754,7.305999999999999,1.621869525486743,1.621869538451438,1.62186952750667,37,77,42,-11.51,-7.17,0.2092710630630630630630630631
1,103,98,0.9514563106796117,0.04854368932038835,330.2580000000001,323.0720000000001,0.9782412538076293,0.02175874619237081,3.296653061224491,9,8.985000000000001,8.754,8.754,1.621868578951094,1.621868574814944,1.621868574882497,78,32,37,17.45,43.44,0.08053507216494845360824742268
1,99,96,0.9696969696969697,0.030303030303030304,259.1020000000001,256.1240000000001,0.9885064569165811,0.01149354308341888,2.6679583333333343,5,10.202,10.202,8.374,1.621868614657469,1.621868614693938,1.621868612814417,61,65,44,8.11,-2.83,0.07277003157894736842105263158
1,120,118,0.9833333333333333,0.016666666666666666,261.0140000000001,257.2260000000001,0.9854873684936439,0.014512631506355974,2.1798813559322046,3,8.754,7.305999999999999,7.305999999999999,1.621869751416402,1.621869751503106,1.621869757795,31,33,70,14.78,-26.29,0.1943746239316239316239316239
1,114,112,0.9824561403508771,0.017543859649122806,287.71299999999997,283.89599999999996,0.9867333071498333,0.013266692850166661,2.534785714285714,3,7.106000000000001,7.106000000000001,5.698,1.620413985829583,1.620413997890385,1.620413985622592,13,93,3,10.28,-22.19,0.1485329819819819819819819820
1,120,119,0.9916666666666667,0.008333333333333333,276.61799999999994,275.40099999999995,0.9956004309191738,0.004399569080826267,2.3142941176470586,1,7.305999999999999,7.305999999999999,4.966,1.62186983183149,1.621869858932327,1.621869827569551,37,116,14,-4.2,8.4,0.2876582627118644067796610169
1,104,101,0.9711538461538461,0.028846153846153848,273.13900000000007,269.64700000000005,0.9872153006344754,0.01278469936552451,2.669772277227723,4,11.65,10.202,7.08,1.621868450148888,1.62186845018527,1.621868452599877,65,68,101,17.45,-18.1,0.068311160000000
1,123,120,0.975609756097561,0.024390243902439025,268.6440000000001,263.7330000000001,0.9817193013802653,0.01828069861973466,2.197775000000001,5,7.305999999999999,5.858,5.858,1.621869870261585,1.621869868235253,1.621869874521252,36,21,55,-13.25,-5.43,0.1967947647058823529411764706
1,97,96,0.9896907216494846,0.010309278350515464,234.72600000000006,232.06100000000006,0.9886463365796716,0.01135366342032838,2.417302083333334,1,11.49,10.202,10.143,1.62186914342609,1.62186913077395,1.621869143389602,96,36,95,-13.25,101.5,0.1822570421052631578947368421
1,124,121,0.9758064516129032,0.024193548387096774,313.0160000000002,308.0470000000002,0.9841254121195083,0.015874587880491724,2.545842975206613,5,9.922,7.106000000000001,7.106000000000001,1.619870273375226,1.619870259703701,1.619870264925451,118,30,70,-7.63,-10.25,0.1509917666666666666666666667
1,152,150,0.9868421052631579,0.013157894736842105,337.686,333.89799999999997,0.9887824783970908,0.011217521602909213,2.2259866666666666,3,5.858,5.618,4.41,1.621870459078794,1.621870473681046,1.621870459202925,24,132,26,0.3,-14.78,0.1512169932885906040268456376
1,146,140,0.958904109589041,0.0410958904109589,336.409,329.551,0.9796141006929066,0.02038589930709345,2.353935714285714,8,7.106000000000001,7.106000000000001,5.698,1.620414064522852,1.620414077548208,1.62041406433976,28,114,18,16.46,0.0,0.1601352014388489208633093525
1,112,109,0.9732142857142857,0.026785714285714284,280.70799999999997,275.768,0.9824016415634752,0.01759835843652479,2.5299816513761466,5,11.65,10.202,8.754,1.621869728419157,1.621869722080388,1.621869734472168,65,37,81,-18.68,-0.94,0.2428021759259259259259259259
